Currency,Date,Open,High,Low,Close,Volume,Market Cap
ripple,"Jan 07, 2017",0.006351,0.006404,0.006133,0.006366,"1,351,030","231,335,019"
ripple,"Jan 06, 2017",0.006197,0.006394,0.006109,0.006315,"1,746,150","229,462,513"
ripple,"Jan 05, 2017",0.006572,0.006580,0.006031,0.006201,"4,058,170","225,333,042"
ripple,"Jan 04, 2017",0.006385,0.006656,0.006385,0.006570,"1,642,730","238,734,599"
ripple,"Jan 03, 2017",0.006290,0.006392,0.006278,0.006386,"1,014,830","232,046,355"
ripple,"Jan 02, 2017",0.006386,0.006437,0.006281,0.006311,"1,046,250","229,312,700"
ripple,"Jan 01, 2017",0.006523,0.006702,0.006334,0.006368,"418,978","231,408,636"
ripple,"Dec 31, 2016",0.006417,0.006538,0.006387,0.006449,"272,884","234,334,879"
ripple,"Dec 30, 2016",0.006352,0.006455,0.006338,0.006426,"1,379,470","233,518,379"
ripple,"Dec 29, 2016",0.006180,0.006354,0.006167,0.006341,"1,345,050","230,400,639"
ripple,"Dec 28, 2016",0.006193,0.006336,0.006126,0.006173,"2,064,130","222,244,080"
ripple,"Dec 27, 2016",0.006326,0.006326,0.006188,0.006199,"2,471,000","223,193,135"
ripple,"Dec 26, 2016",0.006443,0.006481,0.006323,0.006326,"1,640,840","227,749,030"
ripple,"Dec 25, 2016",0.006350,0.006453,0.006334,0.006444,"2,188,780","232,006,456"
ripple,"Dec 24, 2016",0.006275,0.006371,0.006234,0.006349,"2,495,670","228,603,756"
ripple,"Dec 23, 2016",0.006362,0.006436,0.006281,0.006286,"3,514,540","226,316,807"
ripple,"Dec 22, 2016",0.006452,0.006466,0.006324,0.006363,"2,897,110","229,098,085"
ripple,"Dec 21, 2016",0.006498,0.006498,0.006417,0.006445,"2,300,840","230,703,575"
ripple,"Dec 20, 2016",0.006540,0.006543,0.006481,0.006500,"2,284,690","232,649,010"
ripple,"Dec 19, 2016",0.006582,0.006582,0.006534,0.006545,"1,109,670","234,261,556"
ripple,"Dec 18, 2016",0.006541,0.006580,0.006533,0.006574,"1,194,400","235,319,644"
ripple,"Dec 17, 2016",0.006704,0.006711,0.006535,0.006541,"1,838,990","234,116,946"
ripple,"Dec 16, 2016",0.006662,0.006791,0.006661,0.006710,"2,575,390","240,187,706"
ripple,"Dec 15, 2016",0.006699,0.006699,0.006606,0.006662,"1,050,570","238,465,987"
ripple,"Dec 14, 2016",0.006704,0.006753,0.006690,0.006705,"2,002,770","241,329,460"
ripple,"Dec 13, 2016",0.006780,0.006781,0.006678,0.006708,"1,946,660","241,460,120"
ripple,"Dec 12, 2016",0.006744,0.006809,0.006743,0.006778,"1,449,640","243,965,345"
ripple,"Dec 11, 2016",0.006816,0.006998,0.006731,0.006744,"978,511","242,740,088"
ripple,"Dec 10, 2016",0.007138,0.007145,0.006816,0.006816,"1,297,860","245,331,700"
ripple,"Dec 09, 2016",0.007091,0.007162,0.007007,0.007135,"2,421,860","256,809,661"
ripple,"Dec 08, 2016",0.006849,0.007156,0.006829,0.007097,"2,789,540","255,463,823"
ripple,"Dec 07, 2016",0.006653,0.006851,0.006565,0.006851,"2,805,260","246,553,161"
ripple,"Dec 06, 2016",0.006435,0.006655,0.006417,0.006655,"1,396,500","239,510,358"
ripple,"Dec 05, 2016",0.006525,0.006761,0.006419,0.006434,"867,666","231,528,275"
ripple,"Dec 04, 2016",0.006592,0.006595,0.006519,0.006527,"1,167,110","234,887,732"
ripple,"Dec 03, 2016",0.006712,0.006890,0.006588,0.006588,"1,213,480","237,099,899"
ripple,"Dec 02, 2016",0.006707,0.006906,0.006615,0.006660,"1,756,030","239,694,615"
ripple,"Dec 01, 2016",0.006723,0.006737,0.006702,0.006702,"1,142,000","241,195,305"
ripple,"Nov 30, 2016",0.006779,0.006784,0.006720,0.006723,"1,495,310","241,184,506"
ripple,"Nov 29, 2016",0.007009,0.007042,0.006780,0.006780,"1,551,670","243,251,358"
ripple,"Nov 28, 2016",0.007082,0.007114,0.006947,0.007008,"1,818,750","251,422,257"
ripple,"Nov 27, 2016",0.007385,0.007499,0.007070,0.007074,"525,140","253,777,557"
ripple,"Nov 26, 2016",0.006895,0.007390,0.006847,0.007390,"560,816","265,121,385"
ripple,"Nov 25, 2016",0.006948,0.006979,0.006888,0.006902,"995,869","247,621,847"
ripple,"Nov 24, 2016",0.007062,0.007069,0.006945,0.006950,"1,845,880","249,325,628"
ripple,"Nov 23, 2016",0.007434,0.007435,0.007035,0.007061,"3,730,650","253,252,040"
ripple,"Nov 22, 2016",0.007567,0.007567,0.007431,0.007434,"2,400,100","266,617,526"
ripple,"Nov 21, 2016",0.007649,0.007651,0.007566,0.007566,"2,594,010","271,366,065"
ripple,"Nov 20, 2016",0.007799,0.007806,0.007626,0.007651,"1,875,290","274,408,501"
ripple,"Nov 19, 2016",0.007778,0.007809,0.007753,0.007799,"1,296,770","279,719,046"
ripple,"Nov 18, 2016",0.007722,0.007778,0.007709,0.007778,"2,487,390","278,954,043"
ripple,"Nov 17, 2016",0.007851,0.007867,0.007721,0.007727,"2,401,030","277,116,674"
ripple,"Nov 16, 2016",0.007888,0.007944,0.007842,0.007842,"2,905,840","280,456,216"
ripple,"Nov 15, 2016",0.008099,0.008115,0.007876,0.007881,"3,078,090","281,847,837"
ripple,"Nov 14, 2016",0.008255,0.008308,0.008059,0.008098,"1,283,330","289,608,871"
ripple,"Nov 13, 2016",0.008039,0.008258,0.007968,0.008257,"2,201,990","295,328,431"
ripple,"Nov 12, 2016",0.008061,0.008105,0.008019,0.008044,"1,708,000","287,694,006"
ripple,"Nov 11, 2016",0.008131,0.008146,0.008058,0.008065,"2,039,200","288,449,723"
ripple,"Nov 10, 2016",0.008081,0.008138,0.008043,0.008136,"2,600,650","290,984,040"
ripple,"Nov 09, 2016",0.008205,0.008222,0.008074,0.008079,"3,575,540","288,005,742"
ripple,"Nov 08, 2016",0.008111,0.008246,0.008108,0.008206,"2,477,080","292,550,350"
ripple,"Nov 07, 2016",0.008197,0.008197,0.008088,0.008108,"2,308,500","289,062,752"
ripple,"Nov 06, 2016",0.008230,0.008277,0.008187,0.008193,"784,787","292,091,183"
ripple,"Nov 05, 2016",0.008157,0.008261,0.008155,0.008230,"967,011","293,413,782"
ripple,"Nov 04, 2016",0.008015,0.008161,0.008008,0.008157,"2,707,110","290,786,409"
ripple,"Nov 03, 2016",0.008221,0.008243,0.007975,0.008021,"3,114,110","285,948,762"
ripple,"Nov 02, 2016",0.008104,0.008222,0.008088,0.008222,"1,739,300","292,147,928"
ripple,"Nov 01, 2016",0.008197,0.008259,0.008083,0.008102,"1,875,440","287,884,553"
ripple,"Oct 31, 2016",0.008014,0.008261,0.008014,0.008196,"2,515,480","291,210,973"
ripple,"Oct 30, 2016",0.007738,0.008018,0.007716,0.008014,"2,071,780","284,757,107"
ripple,"Oct 29, 2016",0.008157,0.008162,0.007674,0.007732,"3,471,390","274,737,698"
ripple,"Oct 28, 2016",0.008483,0.008492,0.008081,0.008143,"3,881,320","289,334,577"
ripple,"Oct 27, 2016",0.008833,0.008849,0.008468,0.008481,"4,302,920","301,323,830"
ripple,"Oct 26, 2016",0.008884,0.008944,0.008815,0.008835,"2,969,280","313,525,877"
ripple,"Oct 25, 2016",0.009065,0.009135,0.008882,0.008891,"2,780,690","315,518,182"
ripple,"Oct 24, 2016",0.009432,0.009485,0.009054,0.009065,"1,717,690","321,697,382"
ripple,"Oct 23, 2016",0.008977,0.009454,0.008915,0.009454,"974,189","335,501,923"
ripple,"Oct 22, 2016",0.009027,0.009081,0.008864,0.008972,"1,649,580","318,415,081"
ripple,"Oct 21, 2016",0.009090,0.009128,0.008856,0.009029,"4,055,710","320,429,035"
ripple,"Oct 20, 2016",0.008636,0.009124,0.008620,0.009092,"5,895,540","322,653,788"
ripple,"Oct 19, 2016",0.008348,0.008637,0.008318,0.008627,"3,360,180","306,053,399"
ripple,"Oct 18, 2016",0.008032,0.008350,0.008026,0.008350,"3,782,990","296,223,772"
ripple,"Oct 17, 2016",0.008079,0.008144,0.008011,0.008030,"2,485,290","284,885,360"
ripple,"Oct 16, 2016",0.008137,0.008230,0.008055,0.008078,"608,355","286,570,104"
ripple,"Oct 15, 2016",0.008769,0.008885,0.008130,0.008146,"781,979","288,973,588"
ripple,"Oct 14, 2016",0.007980,0.008960,0.007970,0.008767,"1,915,430","311,016,814"
ripple,"Oct 13, 2016",0.007951,0.007984,0.007867,0.007982,"1,009,720","283,150,594"
ripple,"Oct 12, 2016",0.008208,0.008507,0.007934,0.007949,"2,943,130","281,990,055"
ripple,"Oct 11, 2016",0.007993,0.008324,0.007905,0.008234,"4,003,630","292,120,171"
ripple,"Oct 10, 2016",0.007542,0.008105,0.007542,0.007978,"6,150,610","283,038,010"
ripple,"Oct 09, 2016",0.007310,0.007563,0.007299,0.007543,"3,390,900","267,594,684"
ripple,"Oct 08, 2016",0.007371,0.007377,0.007260,0.007310,"2,019,560","259,344,432"
ripple,"Oct 07, 2016",0.007377,0.007459,0.007350,0.007377,"3,042,600","261,687,609"
ripple,"Oct 06, 2016",0.007429,0.007460,0.007321,0.007382,"2,826,190","261,893,013"
ripple,"Oct 05, 2016",0.007873,0.007895,0.007407,0.007435,"4,840,340","263,742,834"
ripple,"Oct 04, 2016",0.008115,0.008132,0.007853,0.007853,"2,642,950","278,579,626"
ripple,"Oct 03, 2016",0.008165,0.008241,0.008065,0.008089,"2,776,300","286,966,317"
ripple,"Oct 02, 2016",0.008197,0.008316,0.008084,0.008165,"2,072,840","289,655,692"
ripple,"Oct 01, 2016",0.008839,0.008848,0.008186,0.008205,"5,895,530","291,065,121"
ripple,"Sep 30, 2016",0.008910,0.009240,0.008789,0.008830,"7,561,150","313,257,340"
ripple,"Sep 29, 2016",0.009065,0.009090,0.008707,0.008914,"5,974,090","316,225,905"
ripple,"Sep 28, 2016",0.008220,0.009082,0.008220,0.009048,"7,558,520","320,824,517"
ripple,"Sep 27, 2016",0.007959,0.008306,0.007919,0.008229,"6,131,430","291,797,037"
ripple,"Sep 26, 2016",0.007872,0.008593,0.007847,0.007963,"9,102,940","282,365,048"
ripple,"Sep 25, 2016",0.007356,0.007986,0.007316,0.007855,"4,699,860","278,512,115"
ripple,"Sep 24, 2016",0.007234,0.007424,0.007170,0.007362,"2,170,050","261,050,169"
ripple,"Sep 23, 2016",0.006848,0.007300,0.006807,0.007211,"3,104,540","255,679,254"
ripple,"Sep 22, 2016",0.006833,0.006986,0.006809,0.006843,"1,491,330","242,632,614"
ripple,"Sep 21, 2016",0.006809,0.006908,0.006709,0.006829,"1,719,470","242,135,483"
ripple,"Sep 20, 2016",0.006865,0.006911,0.006748,0.006785,"1,365,440","240,590,585"
ripple,"Sep 19, 2016",0.006855,0.007178,0.006795,0.006858,"2,930,120","243,179,716"
ripple,"Sep 18, 2016",0.007017,0.007019,0.006788,0.006853,"2,231,350","242,976,897"
ripple,"Sep 17, 2016",0.007391,0.007535,0.006998,0.007018,"1,646,260","248,852,614"
ripple,"Sep 16, 2016",0.008286,0.008333,0.007200,0.007446,"12,342,800","264,017,927"
ripple,"Sep 15, 2016",0.005969,0.008765,0.005953,0.008303,"15,967,600","294,409,541"
ripple,"Sep 14, 2016",0.005888,0.006042,0.005881,0.005961,"1,048,560","210,537,259"
ripple,"Sep 13, 2016",0.005899,0.005905,0.005871,0.005886,"836,942","207,878,914"
ripple,"Sep 12, 2016",0.005844,0.005912,0.005837,0.005897,"680,932","208,277,648"
ripple,"Sep 11, 2016",0.005866,0.005895,0.005815,0.005842,"533,904","206,330,243"
ripple,"Sep 10, 2016",0.005872,0.005882,0.005859,0.005870,"310,034","207,309,243"
ripple,"Sep 09, 2016",0.005901,0.005907,0.005857,0.005869,"849,260","207,282,049"
ripple,"Sep 08, 2016",0.005892,0.005941,0.005892,0.005902,"869,389","208,429,513"
